"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_CONRAD";"OC_CONRAD_ADD";"OC_DIGIKEY";"OC_FARNELL";"OC_MOUSER";"OC_MOUSER_ADD";"OC_MOUSER_ADD2";"OC_MOUSER_ALT";"OC_NEWARK";"OC_RS";"OC_RS_ADD";
"2";"470R 5% 1/10W";"R-SMD0805";"C0805K";"R20, R21";"R";"";"";"";"";"";"";"652-CR0805FX-4700ELF";"";"";"";"";"";"";
"2";"4k7 1% 1/10W";"R-SMD0805";"C0805K";"R35, R40";"R";"";"";"";"";"";"";"652-CR0805FX-4701ELF";"";"";"";"";"";"";
"2";"4n/1kV";"CAPACITOR-1206";"C1206";"C25, C27";"Capacitors";"";"";"";"";"";"";"581-1206AC392K";"";"";"";"";"";"";
"1";"630 mA/T";"F5X20";"F5X20";"F4";"Sicherung";"";"";"";"";"";"";"693-0751.0110";"";"";"";"";"";"";
"1";"7805TV";"7805TV";"TO220V";"IC4";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"511-L7805CV";"";"";"";"";"";"";
"1";"ADS1115";"ADS1015VSSOP10";"VSSOP10";"IC18";"ADS1015 12-BIT ADC";"";"";"";"";"";"";"595-ADS1115IDGSR";"";"";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"IC7";"Atmel ATmega16U4/32U4 AVR Microcontroller";"";"";"";"";"";"";"556-ATMEGA32U4-AU";"";"";"";"";"";"";
"4";"BC847ALT1G";"T-NPNSOT23-BEC";"SOT23-BEC";"T2, T5, T6, T11";"NPN Transistor";"";"";"";"";"";"";"863-BC847ALT1G";"";"";"";"";"";"";
"1";"CGRB307-G";"DWIDE";"DO214AA-CGRB307-G";"D8";"";"";"";"";"";"";"";"750-CGRB307-G";"";"";"";"";"";"";
"1";"CH340C";"CH340C";"SOP16";"IC2";"";"";"";"";"";"";"";"C84681";"";"";"";"";"";"";
"1";"D01S";"D01S";"D01S";"HS3";"HEATSINK";"";"";"";"";"";"";"532-576802B00";"";"";"";"";"";"";
"1";"DAC70501ZDGS";"DAC70501";"VSSOP10";"IC1";"";"";"";"";"";"";"";"595-DAC70501ZDGS";"";"";"";"";"";"";
"1";"DF04M";"BRDIL2";"BR-DIL2";"BR2";"";"";"";"";"";"";"";"621-DF04M";"";"";"512-DF04M";"";"";"";
"1";"ESP-WROOM02";"ESP-WROOM02";"ESP-WROOM02";"IC5";"Espressif ESP-WROOM-02  and AI-Thinker ESP-12 ESP8266 WiFi/WLAN Module";"";"";"";"";"";"";"356-ESPWROOM02D(4MB)";"";"";"";"";"";"";
"2";"FASTON4.8X0.8";"FASTON4.8X0.8";"FASTON-4.8X0.8";"L, N";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"736079";"1022092";"";"unknown";"";"";"";"";"unknown";"";"";
"1";"IRFP3710";"T-NMOSTO247";"TOP3AV";"T1";"Transistor N-Channel MOSFET";"";"";"";"";"";"";"942-IRFP3710PBF";"";"";"";"";"";"";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"IC6";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"";"";"511-LD1117AS33";"";"";"";"";"";"";
"6";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"H1, H2, H3, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"MPZ2012S601AT000";"L0805";"C0805K@1";"L1, L5";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"";"";"810-MPZ2012S601AT000";"";"";"";"";"";"";
"2";"PMV130ENEAR";"T-NMOSIRLML2502PBF";"SOT23";"T3, T4";"Transistor N-Channel MOSFET";"";"";"";"";"";"";"771-PMV130ENEAR";"";"";"";"";"";"";
"1";"PT 4.5/2/8";"PT4,5/2/..";"PT/4,5/2/..";"TR1";"TRANSFORMER";"";"";"";"";"";"";"";"";"";"";"";"201-8463";"546-5604";
"1";"QUAD-OPVOPA4197";"QUAD-OPVOPA4197";"SO14";"IC3";"";"";"";"";"";"";"";"595-OPA4197IDR";"";"";"";"";"";"";
